ФИО;Код клиента;Индекс;Дата рождения;Город;Улица;Дом;Квартира;e-mail;password;Серия;Номер
Орлова Ясмина Васильевна;45462585;400750;24.06.1984;Санкт-Петербург;Школьная;36;71;damon.mcclure@mills.com;cl12404;4741;601821
Васильева Ксения Константиновна;45462586;660590;01.08.1999;Санкт-Петербург;Дачная;37;70;grady.reilly@block.com;cl12405;4783;612567
Борисова Тамара Данииловна;45462587;426083;29.05.1993;Санкт-Петербург;Механизаторов;41;26;boyd.koss@yahoo.com;cl12406;4658;621200
Дмитриев Мирон Ильич;45462588;410569;13.04.1985;Санкт-Петербург;Парковая;36;17;obartell@franecki.info;cl12407;4908;634613
Лебедева Анна Александровна;45462589;443375;30.03.1985;Санкт-Петербург;Дзержинского;50;95;reina75@ferry.net;cl12408;5092;642468
Пономарев Артём Маркович;45462590;614316;02.06.1984;Санкт-Петербург;Первомайская;48;31;karson28@hotmail.com;cl12409;5155;465274
Борисова Елена Михайловна;45462591;445685;23.05.1976;Санкт-Петербург;Зеленая;7;47;damaris61@okon.com;cl12410;5086;666893
Моисеев Камиль Максимович;45462592;614505;17.06.1999;Санкт-Петербург;Нагорная;37;31;carroll.jerod@hotmail.com;cl12411;5333;675375
Герасимова Дарья Константиновна;45462593;426629;13.10.1984;Санкт-Петербург;Весенняя;32;46;ron.treutel@quitzon.com;cl12412;5493;684572
Михайлова Мария Марковна;45462594;603743;02.12.1976;Санкт-Петербург;Матросова;19;20;olen79@yahoo.com;cl12413;5150;696226
Коршунов Кирилл Максимович;45462595;450750;22.05.1985;Санкт-Петербург;Клубная;23;90;pacocha.robbie@yahoo.com;cl12414;1308;703305
